{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.56, 'scoreIncrement': 0, 'newState': {'x': '16', 'y': 24}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.5, 'scoreIncrement': 0, 'newState': {'x': '16', 'y': 23}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.56, 'scoreIncrement': 0, 'newState': {'x': 17, 'y': '23'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.5, 'scoreIncrement': 0, 'newState': {'x': 16, 'y': '23'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.56, 'scoreIncrement': 0, 'newState': {'x': '16', 'y': 24}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.5, 'scoreIncrement': 0, 'newState': {'x': '16', 'y': 25}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.56, 'scoreIncrement': 0, 'newState': {'x': '16', 'y': 24}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.5, 'scoreIncrement': 0, 'newState': {'x': '16', 'y': 25}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.56, 'scoreIncrement': 0, 'newState': {'x': '16', 'y': 24}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.63, 'scoreIncrement': 0, 'newState': {'x': 17, 'y': '24'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.56, 'scoreIncrement': 0, 'newState': {'x': '17', 'y': 25}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.63, 'scoreIncrement': 0, 'newState': {'x': 18, 'y': '25'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.56, 'scoreIncrement': 0, 'newState': {'x': 17, 'y': '25'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.63, 'scoreIncrement': 0, 'newState': {'x': 18, 'y': '25'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.71, 'scoreIncrement': 0, 'newState': {'x': 19, 'y': '25'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.83, 'scoreIncrement': 0, 'newState': {'x': 20, 'y': '25'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1, 'scoreIncrement': 0, 'newState': {'x': '20', 'y': 24}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.83, 'scoreIncrement': 0, 'newState': {'x': '20', 'y': 25}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1, 'scoreIncrement': 0, 'newState': {'x': 21, 'y': '25'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.83, 'scoreIncrement': 0, 'newState': {'x': '21', 'y': 26}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1, 'scoreIncrement': 0, 'newState': {'x': 22, 'y': '26'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.25, 'scoreIncrement': 0, 'newState': {'x': '22', 'y': 25}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.67, 'scoreIncrement': 0, 'newState': {'x': '22', 'y': 24}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.25, 'scoreIncrement': 0, 'newState': {'x': 21, 'y': '24'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1, 'scoreIncrement': 0, 'newState': {'x': '21', 'y': 25}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.83, 'scoreIncrement': 0, 'newState': {'x': 20, 'y': '25'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1, 'scoreIncrement': 0, 'newState': {'x': '20', 'y': 24}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.25, 'scoreIncrement': 0, 'newState': {'x': 21, 'y': '24'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1, 'scoreIncrement': 0, 'newState': {'x': '21', 'y': 25}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.83, 'scoreIncrement': 0, 'newState': {'x': 20, 'y': '25'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1, 'scoreIncrement': 0, 'newState': {'x': '20', 'y': 24}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.83, 'scoreIncrement': 0, 'newState': {'x': '20', 'y': 25}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1, 'scoreIncrement': 0, 'newState': {'x': '20', 'y': 24}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.25, 'scoreIncrement': 0, 'newState': {'x': 21, 'y': '24'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1, 'scoreIncrement': 0, 'newState': {'x': '21', 'y': 23}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.25, 'scoreIncrement': 0, 'newState': {'x': 22, 'y': '23'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.67, 'scoreIncrement': 0, 'newState': {'x': '22', 'y': 24}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 2.5, 'scoreIncrement': 0, 'newState': {'x': 23, 'y': '24'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 5, 'scoreIncrement': 0, 'newState': {'x': 24, 'y': '24'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 2.5, 'scoreIncrement': 0, 'newState': {'x': 23, 'y': '24'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 5, 'scoreIncrement': 0, 'newState': {'x': 24, 'y': '24'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 2.5, 'scoreIncrement': 0, 'newState': {'x': 23, 'y': '24'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.67, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 25}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 2.5, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 24}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.67, 'scoreIncrement': 0, 'newState': {'x': 22, 'y': '24'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 2.5, 'scoreIncrement': 0, 'newState': {'x': 23, 'y': '24'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.67, 'scoreIncrement': 0, 'newState': {'x': 22, 'y': '24'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.25, 'scoreIncrement': 0, 'newState': {'x': '22', 'y': 25}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.67, 'scoreIncrement': 0, 'newState': {'x': '22', 'y': 24}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 2.5, 'scoreIncrement': 0, 'newState': {'x': 23, 'y': '24'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.67, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 23}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.25, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 22}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1, 'scoreIncrement': 0, 'newState': {'x': 22, 'y': '22'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.83, 'scoreIncrement': 0, 'newState': {'x': 21, 'y': '22'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.71, 'scoreIncrement': 0, 'newState': {'x': '21', 'y': 21}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.63, 'scoreIncrement': 0, 'newState': {'x': 20, 'y': '21'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.56, 'scoreIncrement': 0, 'newState': {'x': '20', 'y': 20}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.5, 'scoreIncrement': 0, 'newState': {'x': '20', 'y': 19}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.56, 'scoreIncrement': 0, 'newState': {'x': 21, 'y': '19'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.5, 'scoreIncrement': 0, 'newState': {'x': '21', 'y': 18}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.56, 'scoreIncrement': 0, 'newState': {'x': 22, 'y': '18'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.63, 'scoreIncrement': 0, 'newState': {'x': '22', 'y': 19}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.71, 'scoreIncrement': 0, 'newState': {'x': 23, 'y': '19'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.83, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 20}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1, 'scoreIncrement': 0, 'newState': {'x': 24, 'y': '20'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.83, 'scoreIncrement': 0, 'newState': {'x': 23, 'y': '20'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 21}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.25, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 22}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 21}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.25, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 22}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.67, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 23}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 2.5, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 24}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.67, 'scoreIncrement': 0, 'newState': {'x': 22, 'y': '24'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 2.5, 'scoreIncrement': 0, 'newState': {'x': 23, 'y': '24'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.67, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 25}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 2.5, 'scoreIncrement': 0, 'newState': {'x': 24, 'y': '25'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.67, 'scoreIncrement': 0, 'newState': {'x': 25, 'y': '25'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 2.5, 'scoreIncrement': 0, 'newState': {'x': 24, 'y': '25'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 5, 'scoreIncrement': 0, 'newState': {'x': '24', 'y': 24}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 2.5, 'scoreIncrement': 0, 'newState': {'x': '24', 'y': 23}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.67, 'scoreIncrement': 0, 'newState': {'x': 23, 'y': '23'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 2.5, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 24}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.67, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 25}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 2.5, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 24}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.67, 'scoreIncrement': 0, 'newState': {'x': 22, 'y': '24'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.25, 'scoreIncrement': 0, 'newState': {'x': '22', 'y': 25}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1, 'scoreIncrement': 0, 'newState': {'x': '22', 'y': 26}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1.25, 'scoreIncrement': 0, 'newState': {'x': 23, 'y': '26'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 27}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.83, 'scoreIncrement': 0, 'newState': {'x': 22, 'y': '27'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.71, 'scoreIncrement': 0, 'newState': {'x': 21, 'y': '27'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.83, 'scoreIncrement': 0, 'newState': {'x': 22, 'y': '27'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 1, 'scoreIncrement': 0, 'newState': {'x': 23, 'y': '27'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.83, 'scoreIncrement': 0, 'newState': {'x': 22, 'y': '27'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.71, 'scoreIncrement': 0, 'newState': {'x': '22', 'y': 28}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.63, 'scoreIncrement': 0, 'newState': {'x': '22', 'y': 29}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.56, 'scoreIncrement': 0, 'newState': {'x': 21, 'y': '29'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.5, 'scoreIncrement': 0, 'newState': {'x': '21', 'y': 30}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.56, 'scoreIncrement': 0, 'newState': {'x': 22, 'y': '30'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.63, 'scoreIncrement': 0, 'newState': {'x': 23, 'y': '30'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.56, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 31}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.5, 'scoreIncrement': 0, 'newState': {'x': 22, 'y': '31'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.45, 'scoreIncrement': 0, 'newState': {'x': '22', 'y': 32}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.5, 'scoreIncrement': 0, 'newState': {'x': 23, 'y': '32'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.56, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 31}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.63, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 30}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.56, 'scoreIncrement': 0, 'newState': {'x': 22, 'y': '30'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.5, 'scoreIncrement': 0, 'newState': {'x': '22', 'y': 31}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.56, 'scoreIncrement': 0, 'newState': {'x': 23, 'y': '31'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.63, 'scoreIncrement': 0, 'newState': {'x': 24, 'y': '31'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.56, 'scoreIncrement': 0, 'newState': {'x': 23, 'y': '31'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.5, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 32}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.45, 'scoreIncrement': 0, 'newState': {'x': 22, 'y': '32'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.5, 'scoreIncrement': 0, 'newState': {'x': 23, 'y': '32'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.45, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 33}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.5, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 32}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.45, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 33}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.42, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 34}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.45, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 33}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.5, 'scoreIncrement': 0, 'newState': {'x': '23', 'y': 32}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.56, 'scoreIncrement': 0, 'newState': {'x': 24, 'y': '32'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.63, 'scoreIncrement': 0, 'newState': {'x': '24', 'y': 31}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.56, 'scoreIncrement': 0, 'newState': {'x': '24', 'y': 32}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.63, 'scoreIncrement': 0, 'newState': {'x': '24', 'y': 31}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.56, 'scoreIncrement': 0, 'newState': {'x': 25, 'y': '31'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.5, 'scoreIncrement': 0, 'newState': {'x': '25', 'y': 32}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.45, 'scoreIncrement': 0, 'newState': {'x': '25', 'y': 33}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.42, 'scoreIncrement': 0, 'newState': {'x': '25', 'y': 34}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.38, 'scoreIncrement': 0, 'newState': {'x': '25', 'y': 35}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.42, 'scoreIncrement': 0, 'newState': {'x': 24, 'y': '35'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.38, 'scoreIncrement': 0, 'newState': {'x': 23, 'y': '35'}}
{'code': 'OK', 'worldId': 6, 'runId': '54793', 'reward': 0.36, 'scoreIncrement': 0, 'newState': {'x': 22, 'y': '35'}}
